순번,질문제목,제목글자수,제목잘림,작성일,답변수,분류,태그,질문 본문,답변 발췌,답변자,링크,제목 신규어(자동완성에 없음)
193,자발적 퇴사후 휴식후 실업급여,16,N,2026.08.20.,5,고용보험,,,개인사정으로 10년다니던 직장 퇴사후 몆개월까지 쉬다가 단기알바나 계약직 근무후 계약만료로 퇴사가 되었을때 전직장꺼포함으로 실업급여가 인정이 될수있을까요?...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494501865&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"퇴사후, 휴식후"
194,실업급여 피보험 기간,11,N,2026.08.17.,5,고용보험,,,"180일 충족이 됐다는 의미로 봐도 무방할까요? 실업급여에 대한 설명과, 최근 자진퇴사 실업급여 제도에 대한 설명입니다. https://blog.naver.com/villainy_/224381213475",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494502107&answerNo=5&qb=7Iuk7JeF6riJ7Jes,
195,실업급여관련된거,8,N,2026.07.29.,5,고용보험,,,메뉴에서 실업인정 신청을 선택하신 뒤 양식대로 쭈욱 체크하면서 내려오시다... 인정일 당일 실업인정 신청할때 상기 내용 다시 한 번 점검 후 문제없다면 전송창 버튼...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494505324&answerNo=3&qb=7Iuk7JeF6riJ7Jes,실업급여관련된거
196,실업급여 180일 충족?,13,N,2026.07.30.,5,고용보험,,,8월 31일로 계약종료(비자발적퇴사)인데 실업급여 180일이 충족한가요? 02. 04 ~ 08. 31까지의 주5일 근무형태로 7개월 미만 남짓 근속기간 중의 피보험 단위기간은 <<3일...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494519380&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"180일, 충족"
197,실업급여 계산 질문있습니다 ㅠㅠ,17,N,2026.08.20.,5,고용보험,실업급여,,"월급여 2,300,000원 7.31-8.30부터 휴게시간 제외 5.5시간 5~6일 계약직으로 일 합니다. 5일 기준 주휴수당 포함 1,438,500원 정도 될 것 같아요! 이럴 경우에는 6시간을...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494523090&answerNo=5&qb=7Iuk7JeF6riJ7Jes,질문있습니다
198,실업급여 받을 수 있나요?,14,N,2026.07.31.,5,고용보험,,,고용보험 상실 통지서는 오늘왔고 고용24 홈페이지가니까 아직 이직확인서는 없구요 저 코드로 실업급여 받을 수 있나요? 180일 이상 충족되구요 회사 필요에 퇴사한...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494538665&answerNo=5&qb=7Iuk7JeF6riJ7Jes,받을
199,실업급여 날짜 계산,10,N,2026.08.01.,5,고용보험,,,"고용보험 180일이라는데 이게 일한 날인가요?? 돈 받은 날로 계산하면 대나요?? (주휴수당 받는 날 포함) 넵.!! 근무한 날, 근무하지 않아도 돈을 받은 날 모두가 피보험...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494549988&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
200,실업급여가능할까요?,10,N,2026.08.02.,5,고용보험,실업급여,,5월말일까지 직장 3년 근무후 단기알바 10일정도 근무후 계약만료로 그만뒀는데 실업급여 신청이 가능 할까요? 전직장 자진퇴사후에 실업급여 받는 방법은 만 한달이상...,가물치(h292****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494563230&answerNo=1&qb=7Iuk7JeF6riJ7Jes,실업급여가능할까요
201,실업급여 조건이 궁금해요,13,N,2026.08.17.,5,"고용, 노동",,,실업급여 조건이 이게 맞는건가요?? 1.오늘까지만 하고 나가라 2.퇴사사유(회사권유) 3.근무일 180일 이상 4.이직확인서 이걸로 아는데 1번에 경우 내가 마트에 근무...,,https://kin.naver.com/qna/detail.naver?dirId=608&docId=494566761&answerNo=3&qb=7Iuk7JeF6riJ7Jes,조건이
202,실업급여 수급 중 취업,12,N,2026.08.03.,5,고용보험,,,"취업 축하드려요, 9월 1일 출근 당일이나 이후에 고용보험 사이트나 관할 고용센터에 취업사실을 꼭 신고하셔야 하며 출근 전날인 8월 31일까지의 실업급여를 정산받으신 뒤...",채택정말감사해요(dldj****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494576818&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
203,실업급여 이직확인서기준,12,N,2026.08.30.,5,고용안정,"실업급여, 이직확인서",,회사에 1년4개월 근무후 개인사정으로 일을 그만두게되었고 중식당에서 한달계약직으로 근무후 실업급여 신청을 하러 갔는데 추가서류 안내를 받았어요 자차출근이라...,함께할게뉴스(slow****),https://kin.naver.com/qna/detail.naver?dirId=6080401&docId=494581382&answerNo=5&qb=7Iuk7JeF6riJ7Jes,이직확인서기준
204,일용근로자 실업급여 이직확인서,16,N,2026.08.29.,5,고용보험,,,사장님께서 일용근로자로 근로내용확인신고로 매달15일마다 해주셨는데 이번에 비자발적퇴사하면서 실업급여를 받으려고해서 이직확인서를 요청했는데 써주신다고하셔서...,함께할게뉴스(slow****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494582624&answerNo=5&qb=7Iuk7JeF6riJ7Jes,일용근로자
205,실업급여 조건,7,N,2026.08.05.,5,"고용, 고용복지",,,이경우는 실업급여를 받을 수 있는 조건이 아닐까요? 만약 안되면 1~3개월 계약직 근무 후 계약기간 종료로 퇴사하고 이 때 실업급여 받으려고합니다 고용보험에...,,https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494609234&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
206,어머니가 64세 실업급여신청후 65세가 되셨습,25,Y,2026.08.11.,5,국민건강보험,"실업급여, 고용보험, 65세이상실업급여",,"64세 후반에 실업급여를 신청하시고 현재 생일이 지나셔서 65세가 되셨습니다. 64세와 65세의 구직활동,재취업교육 방식이 다른걸로 알고있는데 어머니는 구직활동말고...",JUN 정보공유(arke****),https://kin.naver.com/qna/detail.naver?dirId=6100401&docId=494639235&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"어머니가, 64세, 실업급여신청후, 65세가, 되셨습"
207,실업급여질문,6,N,2026.08.08.,5,고용보험,,,"그럼에도 정년퇴직후 미신청한 실업수당은 수령할 수 있는지 잘의드립니다 결론부터 말씀드리면, A사에서 자발적으로 퇴사할 경우 실업급여 수급이 어려울 수 있습니다....",슬기마루(heun****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494651111&answerNo=1&qb=7Iuk7JeF6riJ7Jes,실업급여질문
208,실업급여 얼마 나올까요?,13,N,2026.08.10.,5,고용보험,실업급여,,"그런데 실업급여에는 하한액이 있습니다. 2026년 이직자 기준으로 하루 소정근로시간이 6시간인 경우 구직급여 하한액은 49,536원입니다. 따라서 단순 계산한 46...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494665273&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"얼마, 나올까요"
209,실업급여를 받는 상황에서 공동구매?로 다수,23,Y,2026.08.10.,5,고용보험,실업급여,,일정금액을 받는 것 자체는 노동청에서 알수가 없는 내용입니다. 실업급여 부정수급 조사를 하는 경우 계좌내역을 보는 것이고 질의와 같이 소명하면 큰 문제는 없습니다.,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494668509&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"상황에서, 공동구매, 다수"
210,실업급여 수급 가능성 질문,14,N,2026.08.10.,5,고용보험,,,결혼과 임신으로 그동안 재취업을 못했고 현재 임신중 8월3일부터 4대보험 가입 가능한 아르바이트를 하고 있습니다 계약기간은 27년 1월 2일까지인데 계약만료시 실업급여...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494677166&answerNo=5&qb=7Iuk7JeF6riJ7Jes,가능성
211,실업급여 신청,7,N,2026.08.10.,5,고용보험,,,자진사퇴를해도 실업급여 받을수 있나요... 출퇴근 왕복4~5시간 소요 고수님들의 조언 부탁드립니다. [[ 회사<사업장> 이전 및 인사발령 등으로 인하여 통근상 이유로 퇴사시...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494677763&answerNo=5&qb=7Iuk7JeF6riJ7Jes,
212,권고사직 실업급여,9,N,2026.08.11.,5,고용보험,,,회사에 일감이 줄어들어 인원감축이 필요해 실업급여해줄테니 퇴사할사람 지원받는다고 하더라구요 근데 짜를인원 보다 신청자가 더많을시 권고사직에서 제외되면...,최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494698378&answerNo=1&qb=7Iuk7JeF6riJ7Jes,권고사직
213,족저근막염 실업급여,10,N,2026.08.12.,5,"고용, 고용복지",,,며칠 전부터 복저근막염이 생겼는데 일을 못하게 되는 상황입니다 실업급업 실업급여 신청 가능할까요? 안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 김정식...,김정식 노무사(ckla****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494702262&answerNo=3&qb=7Iuk7JeF6riJ7Jes,족저근막염
214,주말알바 실업급여,9,N,2026.08.12.,5,고용보험,실업급여,,31 근무하고 퇴사할 경우 제가 실업급여를 받을 수 있을까요? 알바긴 한데 대기업이라 4대보험 돼있어요 안녕하세요 :) 주말알바 실업급여 질문자님 경우는 두 근무가...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494706737&answerNo=3&qb=7Iuk7JeF6riJ7Jes,주말알바
215,실업급여 재수급 문의,11,N,2026.08.12.,5,고용보험,"실업급여, 실업급여재수급, 실업급여수급자격, 실업급여신청자격",,"전직장 3월에 퇴사 후 실업급여를 2회차 까지 받고 취업 했습니다. 실업 당시 11월까지 실업급여를 받을 수 있는걸로 확인했고, 조기 취업으로 내년에 조기취업 수당 받을 수...",최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494712556&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
216,실업급여 질문좀. 드릴께요,14,N,2026.08.17.,5,고용보험,,,제가 실업급여 을 받고 있는데 다른사람신분증 으로 당근알바. 1달에 일주일 정도. 할려고. 하는데 신분증 주인도 . 일을. 하는데. 중복이 가능. 할까요?...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494718544&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"질문좀, 드릴께요"
217,근로계약 만료후 실업급여 충족 하는법,20,N,2026.08.13.,5,고용보험,,,간주되니까 실업급여를 못받는다는걸 알고 있습니다 여기서 12월달에 재계약 말나오면 어떻게 대처를 해야 제가 실업급여를 받을수 있을지 알려주세요. 회사가 귀하에게...,산야로(hans****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494719862&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"근로계약, 만료후, 충족, 하는법"
218,실업급여 구직활동인정,11,N,2026.08.13.,5,고용보험,,,이력서 돌리고 아무데도 면접 연락 없으면... 구직활동 인정되나여 넵.!! 인정됩니다. 면접 연락 없으면 없는대로 지원한 내역으로 실업인정 신청하시기만 하면 되기 때문입니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494722622&answerNo=5&qb=7Iuk7JeF6riJ7Jes,구직활동인정
219,실업급여 취업 질문,10,N,2026.08.13.,5,고용보험,,,만약 제가 실업인정일이 8월 13일이고 새로운 직장에서 14일부터 일하게 되는 경우 이번달 실업급여까지는 무사히 받을 수 있나요? 안녕하세요. 한국공인노무사회...,최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494723260&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
220,산재 신청과 실업급여 신청,14,N,2026.08.17.,5,산업재해보상보험,,,실업급여 신청을 하려고 하는데 회사에서 이직처리 후 확인서를 작성해 주지 않아 실업 급여 신청을 못하고 있습니다. 회사 입장을 고려해 산재 신청을 안하려고 했는데...,산재전문노무사정시환(cpla****),https://kin.naver.com/qna/detail.naver?dirId=6100403&docId=494731945&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"산재, 신청과"
221,실업급여.,5,N,2026.08.15.,5,고용보험,실업급여,,7월에 직업심리검사 받았던걸로 이번달 실업인정일에 적용할수 있나요? 해당 회차 인정기간 중 재취업활동을 한 것에 한하여 인정됩니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494738965&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
222,계약직 만기 후 실업급여 신청,16,N,2026.08.14.,5,고용보험,,,"현재 새로운 회서에서 8월 한달간 서로 알아가는 형식으로 한달 계약직으로 근로계약서 작성 한 상태인데, 경영악화로 8월말까지 할거같은데 이 조건으로 실업급여...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494740111&answerNo=5&qb=7Iuk7JeF6riJ7Jes,만기
223,실업급여 관련 질문입니다.,14,N,2026.08.16.,5,고용보험,,,대한 일수 대비 실업급여 지급됩니다. 취업 후 근무 중 다가오는 해당 회차 인정일에는 실업자가 아닌 근로자 신분이니 절대 실업인정 신청은 아니된다는 점 필히 참고바랍니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494753340&answerNo=4&qb=7Iuk7JeF6riJ7Jes,질문입니다
224,실업급여 신청 후 쿠팡이츠 배민커넥트,20,N,2026.08.16.,5,고용보험,"실업급여, 쿠팡이츠배달파트너, 배민커넥트",,제가 8월3일에 실업급여를 신청했고 8월15일부터 자정넘어서인 16일까지 총 8시간 일해서 11만원정도를 벌었는데요 이런 경우엔 실업급여 받을때 구직급여액 이틀치가...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494761098&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"쿠팡이츠, 배민커넥트"
225,실업급여신청기간,8,N,2026.08.17.,5,고용보험,,,그럼언제그만두워야실업급에받나요 4대보험[고용보험 포함] 취득일 기준으로 주5일 근무시 만30주[7개월 가량] 이상 근무한 시점에 비자발적 퇴사여야 실업급여 되십니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494761137&answerNo=6&qb=7Iuk7JeF6riJ7Jes,
226,실업급여질문,6,N,2026.08.16.,5,고용보험,,,실업급여 3차까지 받았는데 이제 취업하려합니다. 취업한 후에 따로 서류나 인터넷으로 취업한사실 알려야 하나요 ? 아니면 그냥 아무것도 안하면 자동으로 끝나는건가요 ? 취업...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494764293&answerNo=1&qb=7Iuk7JeF6riJ7Jes,실업급여질문
227,권고사직후 1달후 10일근무후 퇴사한경우 실,24,Y,2026.08.17.,5,고용보험,,,처리되면 실업급여 신청 가능할까요? 고용보험취득취소가 되지 않으면 불가능 할꺼 같기도 하구요 퇴사사유를 근로조건저하로 기재되지 않는 한 불가능하겠죠? 안녕하세요....,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494768374&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"권고사직후, 1달후, 10일근무후, 퇴사한경우"
228,정년퇴직을 5개월 남기고 퇴직시 실업급여,22,N,2026.08.18.,5,고용보험,"검색질문, 통합검색궁금증, 통합검색질문하기",,2026년 12월20일이 만60세가되는데 정년퇴직을 못하고 8월17일 실업급여를 신청했다면 구직활동은 몇번하나요 매 회차 인정기간의 재취업 활동 회수는 1건으로 지정될...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494775390&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"정년퇴직을, 5개월, 남기고, 퇴직시"
229,실업급여 대상자가 맞나요,13,N,2026.08.18.,5,고용보험,,,만으로 65세 65세 이상이면 자발적 퇴사에도 실업급여를 받을수 있나요. 연령에 상관없이 자발적 퇴사면 실업급여 자체가 안되십니다.,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494782563&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"대상자가, 맞나요"
230,실업급여 받는 중 주소지 변경,16,N,2026.08.18.,5,"고용, 고용복지",,,주소지 변경을 해야 할 일이 생겨 주소지만 변경을 하고 현재는 원래 머물던 곳에 남아있는데 실업급여 7차 중에 3차까지 받은 상태이고 4차에는 고용센터에 방문해야 하는데...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494784695&answerNo=4&qb=7Iuk7JeF6riJ7Jes,주소지
231,실업급여 관련,7,N,2026.08.19.,5,고용보험,,,사장님이 실업급여 될수도있다고하셨는데 질문이요. 1. 쓰니는 26.2 ~26.8.30. 까지 근무해요.(연속근무일 200일쯤) 2. 전 직장은 2년6개월을 근무했어요. 그러면 쓰니는...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494796190&answerNo=5&qb=7Iuk7JeF6riJ7Jes,
232,실업급여가인정되는지 궁금해서요,16,N,2026.08.19.,5,고용보험,실업급여,,이상황에서도 실업급여 인정될까요 안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 민승기 입니다. 실업급여는 마지막 사업장 이직사유로 수급 여부를...,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494801170&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"실업급여가인정되는지, 궁금해서요"
233,실업급여 에 대해 알고싶습니다,16,N,2026.08.19.,5,고용보험,,,고용보험 넣으면 3.3프로 뗐던일 합산해서 실업급여를 받을수 있다고 하는데 어찌 받을수있나요? 3.3프로는 구청에서 모집하는 일을 단기간 했습니다.. 어떤분은 그일 한걸...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494803800&answerNo=1&qb=7Iuk7JeF6riJ7Jes,알고싶습니다
234,실업급여 온라인 취업특강 step 질문있습니다,25,N,2026.08.20.,5,고용보험,,,2023년에 2월경 실업급여를 받은적이있습니다 그리고 지금 계약직이 종료가되아2번째로 실업급여를받는 상황인데요 2차신청인데 제가 2023년에 2.3차로 온라인취업특강으로...,노마드라이프(alte****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494811960&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"step, 질문있습니다"
235,실업급여 vs 취업,10,N,2026.08.20.,5,사람과 그룹,,,권고사직으로 퇴사를 하게 되어서 실업급여를 받을수 있는데 어쩌다 면접본 회사에서 출근가능한지 연락이 왔습니다. 바로 회사 다닐까요 아님 실업급여 받고 좀 쉬다가...,바다풀잎(all6****),https://kin.naver.com/qna/detail.naver?dirId=61303&docId=494812500&answerNo=2&qb=7Iuk7JeF6riJ7Jes,vs
236,계약직 실업급여 신청 문의,14,N,2026.08.20.,5,고용보험,"실업급여, 실업급여수급자격, 계약직실업급여신청",,위 부분에서 실업급여 신청 조건이 가능하다고 하는데 제가 사정이 생겨서 지인매장에서 26년 5~6월만 한달 안되는 기간에만 고용보험만 들고 근무를 했고...,최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494813806&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
237,실업급여 질문,7,N,2026.08.20.,5,고용보험,실업급여,,전직장에서 180일이상 일하고 자발적 퇴사후 8월 3일~31일 계약직 근무하고있는데 29일 일수 더라구요 그럼 실업급여 못받나요? 꼭 1개월 인 30일 이상이여야하나요? 자발적...,바다풀잎(all6****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494813826&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
238,실업급여 부정수급신고,11,N,2026.08.23.,5,고용보험,,,지인이 24년 실업급여를 받으면서 사업주와 공모하여 실업기간 내내 통장으로 월급을 받은 거 같은 거 같은데 2년이 지난 지금도 신고해도 처벌을 받나요? 처벌을 받게된다면...,이관수노무사(iwil****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494816703&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
239,실업급여 관려,7,N,2026.08.22.,5,고용보험,,,8월 말 계약 기간 만료로 직장에서 실업급여 서류 준비해준다 했습니다. 다만 제가 몇개월 정도 다른 일이나 알바를 하다가 실업급여를 신고하고 싶은데 꼭 바로 실업급여를...,수원실버(wsch****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494846310&answerNo=1&qb=7Iuk7JeF6riJ7Jes,관려
240,실업급여 처리 중,9,N,2026.08.23.,5,고용보험,,,밑에는 처리 중이라 뜨는데 위에는 1차 집체 교육 이렇게 네모낳게 떠요 뜨면 대상자라는 거겟죠.. 대상자임니다,요미(dksm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494851484&answerNo=1&qb=7Iuk7JeF6riJ7Jes,처리
241,실업급여와 알바에 관해,12,N,2026.08.24.,5,고용안정,,,쿠팡 일용직 고용보험을 취득해도 회사 실업급여 신청에 영향이 없을까요?? 2. 일용직 주 15시간 미만 조건은 월 근무시간 총합을 평균낸 것인지 궁금합니다. (이틀 연속...,렌트못한병아리(jds0****),https://kin.naver.com/qna/detail.naver?dirId=6080401&docId=494862815&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"실업급여와, 알바에, 관해"
242,실업급여 수급 중 포인트 전환,16,N,2026.08.25.,5,고용보험,,,안녕하세요 지금 실업급여 수급 중인데 틱톡라이트 출석체크 광고보기로 5000원을 모아서 현금화했습니다 혹시 이거 근로소득발생신고해야할까요? 안녕하세요. 이런 소액...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494880498&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"포인트, 전환"
243,계약만료 실업급여,9,N,2026.08.27.,5,"고용, 고용복지",,딱 1년 계약해서 26.09.30 이 계약만료일인데 10월달에 일용근로 15일~ 한달정도 하고난뒤 실업급여 신청예정입니다 계약만료된 뒤 일용근로를 하면 실업급여를 못받을 수도 있나요?,계약만료 후 일용근로를 했다고 해서 무조건 실업급여를 못 받는 것은 아닙니다. 다만 질문자님처럼 계약만료 뒤에 15일~1개월 정도 일용근로를 하면 판단 기준이 조금 복잡해질 수 있습니다. 핵심은 실업급여가 원칙적으로 마지막 이직한 사업장의 퇴사 사유를 기준으로 판단된다는 점입니다. 9/30 계약만료 후 바로 신청한다면 기존 회사의 계약만료가 중요한 퇴사 사유가 됩니다. 하지....,와우,https://kin.naver.com/qna/detail.naver?answerNo=3&dirId=60804&docId=494884124&kinsrch_src=pc_tab_kin&qb=7Iuk7JeF6riJ7Jes,계약만료
244,실업급여받는중 일용직질문,13,N,2026.08.25.,5,고용안정,,,수급중에 28일동안 당일지급일용직알바를 1주일에4일 그담주 3일 총7일알바 하루8시간 일했는데취업으로보나요? 네 맞습니다. 채택 부탁드립니다.,,https://kin.naver.com/qna/detail.naver?dirId=6080401&docId=494886908&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"실업급여받는중, 일용직질문"
245,실업급여 문의,7,N,2026.08.26.,5,고용보험,,,"이번달 8월 계약 종료로 실업급여 신청 예정입니다 허나, 12월 까지 종교기타소득으로 12월 까지 약 90만원 가량이 입금 되는데 실업급여 신청에 무리가 있을까요? 안녕하세요....",호경 원영재변호사(la****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494900121&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
246,실업급여신청 가능할까요?,13,N,2026.08.26.,5,고용보험,"실업급여, 연차수당",,작년12월부터 근무시작했고 매달 주5일 월1회 연차로 유급휴무가졌습니다 오늘 권고사직권유받았는데 실업급여받으려면 180일은 근무해야 한다고 하던데 지금 그만둬도...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494903814&answerNo=1&qb=7Iuk7JeF6riJ7Jes,가능할까요
247,실업급여 받는중 단기알바 취업 후 계약만료,23,N,2026.08.27.,5,고용보험,,안녕하세요 현재 실업급여를 총 7개월분 중 1개월 분만 받은 상태입니다. 9월 1일부터 3개월 단기알바 (4대보험 포함) 를 할 수도 있을것 같은데 3개월 알바 계약 만료 후 다시 재실업신청을 하게 되면 남은 6개월분을 이어서 받을 수 있는지 아니면 일한 기간은 실업급여 받는 분에서 차감이 되는지 궁금합니다.,"안녕하세요^^ 실업급여를 받다가 3개월 단기알바로 취업하더라도 남아 있던 실업급여가 바로 없어지는 것은 아닙니다. 3개월 근무 후 계약이 종료되어 다시 실업 상태가 됐을 때, 기존 실업급여의 수급기간이 남아 있고 소정급여일수도 남아 있다면 재실업신고 후 남은 급여를 다시 받을 수 있습니다. 다만 중요한 점은 3개월 일한 만큼 실업급여 수급기간이 뒤로 연장되는 것은 아니라는 ....",sere****,https://kin.naver.com/qna/detail.naver?answerNo=5&dirId=6080402&docId=494904085&kinsrch_src=pc_tab_kin&qb=7Iuk7JeF6riJ7Jes,"받는중, 계약만료"
248,알바 해고 통보 후 실업급여 문의,18,N,2026.08.27.,5,고용보험,"실업급여, 이직확인서, 급여축소신고, 고용보험소급, 피보험자격확인청구, 근로계약서미작성, 실업급여과태료, 평균임금정정, 야간알바실업급여, 실업급여부정수급",,문제는 실업급여를 받으려고 알아보니까 4개월 받을 수 있고 지금 매장에서 받은 급여를 얼마나 받았냐에 따라서 결정 되더라구요 근데 저희 점장님 님이 급여를 낮춰서 신고...,실전 지식 연구소(smor****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494909395&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"해고, 통보"
249,실업급여요,5,N,2026.08.27.,5,고용보험,,,제가 2025년도에 실업급여을받았는데요 다시취업을해서일을다니는데... 마지막 직장에서 다시 출근을 해달라고해서 출근을하는데요..여기서 일하다가 몇년이지나도...,노마드라이프(alte****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494912101&answerNo=3&qb=7Iuk7JeF6riJ7Jes,실업급여요
250,급해요!!!실업급여,10,N,2026.08.27.,5,고용보험,,,이직확인서가 확인안되도 일단 고용센터 가도될까요??일단 사장님은 일단 고용센터에 먼저 방문하라는데.. 일단 고용센터 가서 신청하시고 준비되지 않은 서류에 대한 안내...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494916965&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
251,실업급여 수령 가능한지요?,14,N,2026.08.27.,5,고용보험,,,정년 퇴직후 3개월 실업급여를 받다가 재취업을 하고 11개월 근무를 하다 회사사정으로 퇴직을 하게 되었습니다. 이 경우 실업급여를 다시 수령할 수 있는지요? 180일이상...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494918608&answerNo=5&qb=7Iuk7JeF6riJ7Jes,"수령, 가능한지요"
252,실업 급여 몇개월 받을수 잇을까요?,19,N,2026.08.27.,5,고용보험,,,"음식점 에서 5년이상 6년 미만 다니던중 업주측 상황에 일을 쉬게되엇어요 , 좋은 답변 부탁 드려요 실업급여 지급 기간은 고용보험 가입 기간으로 결정됩니다. 질문자님은...",빛과소금(inte****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494921324&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"받을수, 잇을까요"
253,실업급여 이직확인서 요청,13,N,2026.08.28.,5,"고용, 고용복지","이직확인서, 실업급여",,퇴사하고 지금 2주넘게 지났는데 아직 처리 안되어있어 회사에 이직확인서 발급 가능한지 두차례정도 물어봤는데 두번다 익월15일에 퇴사자들 모아서 처리한다는...,청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494921795&answerNo=4&qb=7Iuk7JeF6riJ7Jes,요청
254,실업급여 탈 수 있나요?,13,N,2026.08.28.,5,고용보험,,,그래서 실업급여를 신청하려하는데 이직확인서는 무조건 필요한거잖아요 회사에서 써줘야하는거죠? 그리고 혹시 만약 회사에서 질병으로 인한 자발적 퇴사로 써서...,신천옹(cjro****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494928799&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
